Autobiography; the complete and authorized text of L'histoire d'une âme.,"['Day, Michael, 1920-2003 [Translator]', 'Taylor, Thomas N. 1873-1963 [Translator; Proofreader; Editor]', 'Beevers, John, 1911-1975 [Author]', 'Thérèse, de Lisieux, Saint, 1873-1897']",English,1973,16237829,0006235778,9780006235774
Game : a thriller,"['De la Motte, Anders, 1971-', 'Stadler, Max, [Translator]', 'Allenstein, Ursel, 1978- [Translator]']",English,2013,859180780,0007500270,9780007500277
